Id	Description	Qty	Unit	Designators	Manufacturer	MPN
1	10 Gb Ethernet cable	1		W_NOVASTAR_CAT		
2	16 gauge wire pack, primary power wiring	2		W_AC_CORD, W_DISPLAY_DC_IN, W_L_TB_TO_SSR		
3	20 AWG stranded wire	1		W_FAN_PWR, W_SSR_CTRL, W_START, W_STOP		
4	3M cable holders	1		W_AC_CORD, W_NOVASTAR_CAT, W_SERVICE_ETH		
5	6 in USB-C cable	1		W_X1201_PWR		
6	Cable, 10 Gb / Cat6 Ethernet cable used as NovaStar data link, 8 x 24 AWG	3	ft	W_NOVASTAR_CAT		
7	Cable, 120 VAC input cable, 3 x 16 AWG	24	in	W_AC_CORD		
8	Cable, 5 V always-on supply feed, 2 x 16 AWG	10	in	W_5V_AON_IN		
9	Cable, 5 V fan branch, 2 x 20 AWG	16	in	W_FAN_PWR		
10	Cable, 6 in USB-C / 5 V UPS input lead, 2 x 20 AWG	6	in	W_X1201_PWR		
11	Cable, Duttek slim micro HDMI + CableCreation HDMI-to-DVI link, 1 x 30 AWG shielded	12	in	W_HDMI_DVI		
12	Cable, GPIO button harness, 2 x 20 AWG	36	in	W_START, W_STOP		
13	Cable, GPIO relay-control harness, 2 x 20 AWG	16	in	W_SSR_CTRL		
14	Cable, Geekworm PCIe M.2 flat-flex link, 1 x 30 AWG	3	in	W_PCIE_FFC		
15	Cable, LED/display negative returns, 3 x 16 AWG	18	in	W_LED_RETURNS		
16	Cable, LED/display positive distribution, 3 x 16 AWG	18	in	W_UN1_TO_LED		
17	Cable, LRS-150F to DC fuse block input, 2 x 16 AWG	14	in	W_DISPLAY_DC_IN		
18	Cable, NovaStar sender 5 V branch, 2 x 20 AWG	18	in	W_NOVASTAR_TX_PWR		
19	Cable, UGreen Ethernet extension cable for direct service SSH, 8 x 24 AWG	1	ft	W_SERVICE_ETH		
20	Cable, X1201 battery bay A, 2 x 16 AWG	1	in	W_BAT1		
21	Cable, X1201 battery bay B, 2 x 16 AWG	1	in	W_BAT2		
22	Cable, X1201 to Pi pogo/GPIO link representation, 3 x 20 AWG	2	in	W_X1201_TO_PI		
23	CableCreation HDMI to DVI adapter	1		W_HDMI_DVI		
24	Connector, 120 VAC 3-prong input cable, field/service power input, 3 pins, GY	1		AC_PLUG		
25	Connector, 5 V always-on terminal block, LRS-50-5 output distribution, 4 pins, RD	1		TB_5V_AON		
26	Connector, APIELE push button, START, normally-open momentary contact, 2 pins	1		START_BTN	APIELE	
27	Connector, APIELE push button, STOP, normally-open momentary contact, 2 pins	1		STOP_BTN	APIELE	
28	Connector, Blue Sea Systems 5025 ST blade fuse block, 6 circuits with negative bus and cover, 10 pins	1		FB1	Blue Sea Systems	5025
29	Connector, DIN rail neutral terminal block, 120 VAC neutral distribution, 3 pins, BU	1		TB_N		
30	Connector, Easycargo 30 mm fan, 5 V enclosure fan, 2 pins	1		FAN1		
31	Connector, Electric split DIN rail terminal block, 120 VAC line distribution, 3 pins, BN	1		TB_L		
32	Connector, Enclosure earth bonding stud, GNYE	1				
33	Connector, Fuse inlet, fused/switching panel inlet, 6 pins	1		FI1	Bussmann	3A fuse fitted where load calculation permits
34	Connector, GeeekPi GPIO screw terminal on Raspberry Pi 5, verified controller pins, 9 pins	1		RPI_GPIO		
35	Connector, Geekworm PCIe M.2 adapter, Pi 5 storage expansion, 1 pins	1		M2_HAT	Geekworm	
36	Connector, Geekworm X1201 UPS HAT, Raspberry Pi 5 UPS with Samsung 30Q cells, 9 pins	1		X1201	Geekworm	X1201
37	Connector, Green DIN PE terminal block, case-bonded protective earth, 6 pins, GNYE	1		TB_PE		
38	Connector, LCLCTC DIN rail solid-state relay, line-side switching for display power supply, 4 pins	1		SSR1		
39	Connector, LED panel and NovaStar receiver power landing, field wiring terminal group, 6 pins	1		LED_LOADS		
40	Connector, MEAN WELL LRS-150F-5, 5 V display/LED power supply, 5 pins	1		PSU_DISPLAY	MEAN WELL	LRS-150F-5
41	Connector, MEAN WELL LRS-50-5, 5 V, 10 A, always-on Pi/UPS power supply, 5 pins	1		PSU_AON	MEAN WELL	LRS-50-5
42	Connector, Mini circuit breaker, single-pole line protection / disconnect, 2 pins	1		CB1		
43	Connector, NovaStar MRV412 receiver, LED panel receiver card, 10 pins	1		NOVASTAR_RX		
44	Connector, NovaStar MSD300-1 sender, DVI input, RJ45 LED data output, 11 pins	1		NOVASTAR_TX		
45	Connector, Raspberry Pi 5 AV/PCIe side, display and storage links, 2 pins	1		RPI_AV		
46	Connector, Raspberry Pi 5 Ethernet port, 8 pins	1		PI_ETH		
47	Connector, Samsung 30Q, 3.7 V flat-top real 3000 mAh cell, 2 pins	2		BAT1, BAT2		
